area_id,area_name,borough_name,latitude,longitude,vulnerability_score,overall_accessibility_score,gap_score,gap_rank,priority_flag,gap_drivers,summary_en,summary_fr
A001,Parc Extension,Villeray-Saint-Michel-Parc-Extension,45.529,-73.633,78.2,12.28,68.6,1,High priority,newcomer support need; language access need; income pressure; access score 12.28,Parc Extension shows elevated need and comparatively limited nearby service access. Main drivers: newcomer support need; language access need; income pressure.,Parc Extension presente des besoins eleves et un acces relativement limite aux services proches. Principaux facteurs: newcomer support need; language access need; income pressure.
A004,Montreal-Nord,Montreal-Nord,45.6,-73.62,76.0,10.93,67.69,2,High priority,income pressure; housing pressure; newcomer support need; access score 10.93,Montreal-Nord shows elevated need and comparatively limited nearby service access. Main drivers: income pressure; housing pressure; newcomer support need.,Montreal-Nord presente des besoins eleves et un acces relativement limite aux services proches. Principaux facteurs: income pressure; housing pressure; newcomer support need.
A003,Cote-des-Neiges,Cote-des-Neiges-Notre-Dame-de-Grace,45.5,-73.63,74.6,11.49,66.03,3,High priority,newcomer support need; language access need; income pressure; access score 11.49,Cote-des-Neiges shows elevated need and comparatively limited nearby service access. Main drivers: newcomer support need; language access need; income pressure.,Cote-des-Neiges presente des besoins eleves et un acces relativement limite aux services proches. Principaux facteurs: newcomer support need; language access need; income pressure.
A002,Saint-Michel,Villeray-Saint-Michel-Parc-Extension,45.56,-73.61,73.0,10.59,65.27,4,High priority,newcomer support need; income pressure; language access need; access score 10.59,Saint-Michel shows elevated need and comparatively limited nearby service access. Main drivers: newcomer support need; income pressure; language access need.,Saint-Michel presente des besoins eleves et un acces relativement limite aux services proches. Principaux facteurs: newcomer support need; income pressure; language access need.
A012,Riviere-des-Prairies,Riviere-des-Prairies-Pointe-aux-Trembles,45.645,-73.57,52.6,10.18,47.25,5,High priority,age-related support need; income pressure; newcomer support need; access score 10.18,Riviere-des-Prairies has weaker nearby service access than many comparison areas. Main drivers: age-related support need; income pressure; newcomer support need.,Riviere-des-Prairies a un acces aux services proches plus faible que plusieurs zones comparees. Principaux facteurs: age-related support need; income pressure; newcomer support need.
A005,Hochelaga,Mercier-Hochelaga-Maisonneuve,45.545,-73.545,50.0,10.51,44.74,6,Watch,housing pressure; income pressure; age-related support need; access score 10.51,Hochelaga has weaker nearby service access than many comparison areas. Main drivers: housing pressure; income pressure; age-related support need.,Hochelaga a un acces aux services proches plus faible que plusieurs zones comparees. Principaux facteurs: housing pressure; income pressure; age-related support need.
A007,Ahuntsic,Ahuntsic-Cartierville,45.555,-73.66,47.2,11.61,41.72,7,Watch,age-related support need; newcomer support need; income pressure; access score 11.61,Ahuntsic has weaker nearby service access than many comparison areas. Main drivers: age-related support need; newcomer support need; income pressure.,Ahuntsic a un acces aux services proches plus faible que plusieurs zones comparees. Principaux facteurs: age-related support need; newcomer support need; income pressure.
A008,Lachine,Lachine,45.435,-73.69,45.8,10.36,41.06,8,Watch,age-related support need; housing pressure; income pressure; access score 10.36,Lachine has weaker nearby service access than many comparison areas. Main drivers: age-related support need; housing pressure; income pressure.,Lachine a un acces aux services proches plus faible que plusieurs zones comparees. Principaux facteurs: age-related support need; housing pressure; income pressure.
A011,Pointe-Saint-Charles,Le Sud-Ouest,45.478,-73.56,46.4,19.04,37.57,9,Watch,housing pressure; income pressure; age-related support need; access score 19.04,Pointe-Saint-Charles has weaker nearby service access than many comparison areas. Main drivers: housing pressure; income pressure; age-related support need.,Pointe-Saint-Charles a un acces aux services proches plus faible que plusieurs zones comparees. Principaux facteurs: housing pressure; income pressure; age-related support need.
A006,Verdun,Verdun,45.458,-73.57,40.4,14.23,34.65,10,Watch,housing pressure; income pressure; age-related support need; access score 14.23,Verdun has weaker nearby service access than many comparison areas. Main drivers: housing pressure; income pressure; age-related support need.,Verdun a un acces aux services proches plus faible que plusieurs zones comparees. Principaux facteurs: housing pressure; income pressure; age-related support need.
A010,Plateau Mont-Royal,Le Plateau-Mont-Royal,45.525,-73.575,33.0,18.02,27.05,11,Lower priority,housing pressure; income pressure; age-related support need; access score 18.02,Plateau Mont-Royal has weaker nearby service access than many comparison areas. Main drivers: housing pressure; income pressure; age-related support need.,Plateau Mont-Royal a un acces aux services proches plus faible que plusieurs zones comparees. Principaux facteurs: housing pressure; income pressure; age-related support need.
A009,Westmount,Westmount,45.485,-73.596,24.6,11.57,21.75,12,Lower priority,age-related support need; newcomer support need; housing pressure; access score 11.57,Westmount has weaker nearby service access than many comparison areas. Main drivers: age-related support need; newcomer support need; housing pressure.,Westmount a un acces aux services proches plus faible que plusieurs zones comparees. Principaux facteurs: age-related support need; newcomer support need; housing pressure.
