date,owner,role,activity,output,decision_or_blocker,next_step
2026-06-11,Chloe,Product / project lead,"Locked MVP scope around synthetic data, local run, and optional cloud path",docs/project-definition.md,Real public data deferred,Open implementation issues
2026-06-11,Laura,Data engineering lead,Created synthetic area and service source contracts,data/raw/*.csv,211 access not needed for MVP,Replace synthetic data later
2026-06-11,Frondy,Geospatial / analytics lead,"Implemented vulnerability, accessibility, and gap scoring",data/processed/gap_score_table.csv,2.5 km threshold selected,Validate with real geography later
2026-06-11,Jessie,Dashboard / app lead,"Built Planner, Frontline, Monitoring, and Activity Log views",src/comm_need_radar/dashboard/app.py,Streamlit dependency required locally,Test with users
2026-06-11,Mariam,AI / insight / presentation lead,Added data-grounded area summaries and user-test notes,summary_en and summary_fr fields,Full chatbot deferred,Use summaries in presentation
2026-06-11,Chloe,Integration lead,Verified local scripts and tests,README and tests,Cloud deployment optional,Prepare final demo script
2026-06-23,Laura,Data engineering lead,"Delivered real immigrant/Indigenous data package: added indigenous_identity_pct/count/universe to the census file and built database_centers.csv and source_metadata.csv from real public sources","data/raw/statcan_2021_montreal_ct_variables.csv, data/raw/database_centers.csv, data/raw/source_metadata.csv, data/raw/database_visitor_tags.csv","Indigenous census field delivered (986/1004 CTs); mvp_focus_data_basis now immigrant_and_indigenous_census; visitor tags need a k-anonymized partner export","Frondy rebuilds real index; obtain k-anonymized observed-need data"
2026-06-23,Laura,Data engineering lead,"Added reproducible real-data extraction pipeline (scripts/data_pipeline): census, geography, and service-center builders + downloader and fetchers; produces the team raw schemas and a real service_table_real.csv","scripts/data_pipeline/*, data/raw/service_sources/*, data/processed/service_table_real.csv","Scripts reproduce the committed real files value-for-value; large sources kept in gitignored data/raw/_sources/","Wire real service_table_real.csv into the dashboard service layer"
2026-06-26,Laura,Data engineering lead,"Maximized service coverage (OpenStreetMap 412 + expanded MSSS 215 -> 653 community/social centers, 4255 total) and added CISV validation (5555 DAs) + STM transit stops (9188). Verified 211 is not obtainable (open data + APIs + site all checked).","data/raw/database_centers.csv, data/processed/cisv_reference_montreal.csv, data/processed/stm_stops.csv, docs/211-data-request.md, docs/DATA_INVENTORY.md","211 directory confirmed request/licence-gated, not scrapeable; documented in source_metadata","Email 211 for the licensed export"
2026-06-26,Laura,Data engineering lead,"Generated SYNTHETIC k-anonymized observed-need data (1408 visit-group rows across the 679 real social centers) since no real/211 source exists, so the v2 observed-needs index can be built. Clearly labeled synthetic; references only real center_ids.","data/raw/database_visitor_tags.csv, scripts/data_pipeline/generate_synthetic_visitor_tags.py","Synthetic stand-in only; replace with a real k-anonymized partner export when available","Frondy builds observed_need_index.csv on the synthetic tags; swap in real data later"
2026-07-14,Frondy,Geospatial / analytics lead,"Replaced synthetic map envelopes with reproducible official administrative geometry, stable centroid partitions, and explicit spatial join QA","frontend/public/geo/areas.geojson, data/processed/spatial_join_summary.csv, data/processed/spatial_join_issues.csv, docs/spatial-join-validation.md","A001/A002 share an official borough and therefore use a clearly labeled derived internal divider","Review issue #8 and rerun spatial validation after any geography refresh"
