area_id,area_name,borough_name,latitude,longitude,structural_vulnerability_score,vulnerability_score,service_accessibility_score,overall_accessibility_score,gap_score,gap_rank,priority_flag,classification_status,gap_drivers,summary_en,summary_fr,structural_formula_id,accessibility_formula_id,gap_formula_id,formula_set_version,gap_basis,gap_version,taxonomy_version,service_snapshot_id
A002,Saint-Michel,Villeray-Saint-Michel-Parc-Extension,45.563409,-73.615441,62.87,62.87,58.18,58.18,26.29,1,,unvalidated_poc,income pressure; language access need; newcomer support need; comparatively weaker access: Newcomer Support; Senior Support; Legal Aid,Saint-Michel has structural vulnerability 62.87/100 and relative service accessibility 58.18/100 in this POC. Structural drivers: income pressure; language access need; newcomer support need.,Saint-Michel a une vulnerabilite structurelle de 62.87/100 et une accessibilite relative aux services de 58.18/100 dans cette preuve de concept. Facteurs structurels: income pressure; language access need; newcomer support need.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A004,Montreal-Nord,Montreal-Nord,45.604979,-73.627562,53.72,53.72,58.79,58.79,22.14,2,,unvalidated_poc,income pressure; housing pressure; newcomer support need; comparatively weaker access: Employment; Newcomer Support; Legal Aid,Montreal-Nord has structural vulnerability 53.72/100 and relative service accessibility 58.79/100 in this POC. Structural drivers: income pressure; housing pressure; newcomer support need.,Montreal-Nord a une vulnerabilite structurelle de 53.72/100 et une accessibilite relative aux services de 58.79/100 dans cette preuve de concept. Facteurs structurels: income pressure; housing pressure; newcomer support need.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A008,Lachine,Lachine,45.44763,-73.683399,32.03,32.03,37.23,37.23,20.11,3,,unvalidated_poc,income pressure; age-related support need; newcomer support need; comparatively weaker access: Employment; Legal Aid; Newcomer Support,Lachine has structural vulnerability 32.03/100 and relative service accessibility 37.23/100 in this POC. Structural drivers: income pressure; age-related support need; newcomer support need.,Lachine a une vulnerabilite structurelle de 32.03/100 et une accessibilite relative aux services de 37.23/100 dans cette preuve de concept. Facteurs structurels: income pressure; age-related support need; newcomer support need.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A006,Verdun,Verdun,45.452326,-73.552985,36.89,36.89,50.98,50.98,18.08,4,,unvalidated_poc,housing pressure; newcomer support need; income pressure; comparatively weaker access: Legal Aid; Senior Support; Employment,Verdun has structural vulnerability 36.89/100 and relative service accessibility 50.98/100 in this POC. Structural drivers: housing pressure; newcomer support need; income pressure.,Verdun a une vulnerabilite structurelle de 36.89/100 et une accessibilite relative aux services de 50.98/100 dans cette preuve de concept. Facteurs structurels: housing pressure; newcomer support need; income pressure.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A009,Westmount,Westmount,45.484706,-73.599458,52.06,52.06,72.96,72.96,14.08,5,,unvalidated_poc,age-related support need; housing pressure; newcomer support need; comparatively weaker access: Senior Support; Employment; Newcomer Support,Westmount has structural vulnerability 52.06/100 and relative service accessibility 72.96/100 in this POC. Structural drivers: age-related support need; housing pressure; newcomer support need.,Westmount a une vulnerabilite structurelle de 52.06/100 et une accessibilite relative aux services de 72.96/100 dans cette preuve de concept. Facteurs structurels: age-related support need; housing pressure; newcomer support need.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A007,Ahuntsic,Ahuntsic-Cartierville,45.545068,-73.670859,49.75,49.75,72.33,72.33,13.77,6,,unvalidated_poc,newcomer support need; income pressure; age-related support need; comparatively weaker access: Newcomer Support; Legal Aid; Employment,Ahuntsic has structural vulnerability 49.75/100 and relative service accessibility 72.33/100 in this POC. Structural drivers: newcomer support need; income pressure; age-related support need.,Ahuntsic a une vulnerabilite structurelle de 49.75/100 et une accessibilite relative aux services de 72.33/100 dans cette preuve de concept. Facteurs structurels: newcomer support need; income pressure; age-related support need.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A005,Hochelaga,Mercier-Hochelaga-Maisonneuve,45.574337,-73.531124,30.24,30.24,62.37,62.37,11.38,7,,unvalidated_poc,income pressure; newcomer support need; housing pressure; comparatively weaker access: Newcomer Support; Senior Support; Employment,Hochelaga has structural vulnerability 30.24/100 and relative service accessibility 62.37/100 in this POC. Structural drivers: income pressure; newcomer support need; housing pressure.,Hochelaga a une vulnerabilite structurelle de 30.24/100 et une accessibilite relative aux services de 62.37/100 dans cette preuve de concept. Facteurs structurels: income pressure; newcomer support need; housing pressure.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A003,Cote-des-Neiges,Cote-des-Neiges-Notre-Dame-de-Grace,45.483647,-73.62699,64.39,64.39,83.94,83.94,10.34,8,,unvalidated_poc,newcomer support need; income pressure; housing pressure; comparatively weaker access: Employment; Legal Aid; Housing & Shelter,Cote-des-Neiges has structural vulnerability 64.39/100 and relative service accessibility 83.94/100 in this POC. Structural drivers: newcomer support need; income pressure; housing pressure.,Cote-des-Neiges a une vulnerabilite structurelle de 64.39/100 et une accessibilite relative aux services de 83.94/100 dans cette preuve de concept. Facteurs structurels: newcomer support need; income pressure; housing pressure.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A001,Parc Extension,Villeray-Saint-Michel-Parc-Extension,45.536212,-73.630736,62.87,62.87,85.93,85.93,8.85,9,,unvalidated_poc,income pressure; language access need; newcomer support need; comparatively weaker access: Employment; Housing & Shelter; Health & Mental Health,Parc Extension has structural vulnerability 62.87/100 and relative service accessibility 85.93/100 in this POC. Structural drivers: income pressure; language access need; newcomer support need.,Parc Extension a une vulnerabilite structurelle de 62.87/100 et une accessibilite relative aux services de 85.93/100 dans cette preuve de concept. Facteurs structurels: income pressure; language access need; newcomer support need.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A011,Pointe-Saint-Charles,Le Sud-Ouest,45.467989,-73.588562,35.9,35.9,75.98,75.98,8.62,10,,unvalidated_poc,income pressure; housing pressure; newcomer support need; comparatively weaker access: Legal Aid; Newcomer Support; Employment,Pointe-Saint-Charles has structural vulnerability 35.90/100 and relative service accessibility 75.98/100 in this POC. Structural drivers: income pressure; housing pressure; newcomer support need.,Pointe-Saint-Charles a une vulnerabilite structurelle de 35.90/100 et une accessibilite relative aux services de 75.98/100 dans cette preuve de concept. Facteurs structurels: income pressure; housing pressure; newcomer support need.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
A012,Riviere-des-Prairies,Riviere-des-Prairies-Pointe-aux-Trembles,45.660387,-73.530574,11.06,11.06,39.29,39.29,6.71,11,,unvalidated_poc,age-related support need; language access need; income pressure; comparatively weaker access: Food Support; Housing & Shelter; Newcomer Support,Riviere-des-Prairies has structural vulnerability 11.06/100 and relative service accessibility 39.29/100 in this POC. Structural drivers: age-related support need; language access need; income pressure.,Riviere-des-Prairies a une vulnerabilite structurelle de 11.06/100 et une accessibilite relative aux services de 39.29/100 dans cette preuve de concept. Facteurs structurels: age-related support need; language access need; income pressure.,STRUCT-01,ACCESS-REAL-02,GAP-CANON-02,scoring-contract-02,structural-census-plus-relative-service-access,gap-v1,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b
